learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10500.0,0.538814,1.2178729358646598E-8,10500.0,87.3,74.51191317192216,75.049115913556,72.68817204301075,10500.0,99264.0
10600.0,0.542482,1.2272922380103E-8,10600.0,87.4,74.73207983058461,75.14792899408283,73.52941176470587,10600.0,99264.0
10700.0,0.545537,1.2351373765203682E-8,10700.0,87.7,75.37044453344012,75.83497053045186,74.63917525773196,10700.0,99264.0
10800.0,0.549253,1.2446799410714038E-8,10800.0,88.5,76.98342806820911,77.5390625,76.4344262295082,10800.0,99264.0
10900.0,0.552514,1.2530540807379611E-8,10900.0,88.3,76.59925117603763,77.19298245614036,76.50602409638554,10900.0,99264.0
11000.0,0.555577,1.260919762982262E-8,11000.0,88.5,77.0,77.7992277992278,76.6260162601626,11000.0,99264.0
11100.0,0.558997,1.2697022093666918E-8,11100.0,88.4,76.78514249119436,77.73512476007679,77.12031558185404,11100.0,99264.0
11200.0,0.563268,1.280669995480113E-8,11200.0,88.1,76.19523904780957,77.02702702702703,76.24750499001996,11200.0,99264.0
11300.0,0.567395,1.2912679943773475E-8,11300.0,87.8,75.59648589396873,75.7455268389662,75.93688362919131,11300.0,99264.0
11400.0,0.570856,1.3001557273997194E-8,11400.0,87.6,75.2048598474699,75.0503018108652,75.39682539682539,11400.0,99264.0
11500.0,0.574206,1.3087584161096143E-8,11500.0,87.3,74.60142232035007,74.75149105367794,74.8015873015873,11500.0,99264.0
11600.0,0.57752,1.3172686580154624E-8,11600.0,87.5,74.98879498015111,75.1984126984127,75.0996015936255,11600.0,99264.0
11700.0,0.58066,1.325332073701752E-8,11700.0,87.0,73.98501536885246,74.10358565737052,74.05189620758483,11700.0,99264.0
11800.0,0.583867,1.3335675431622394E-8,11800.0,86.9,73.80062878490916,73.53535353535354,74.26326129666012,11800.0,99264.0
11900.0,0.586944,1.3414691769414473E-8,11900.0,86.7,73.39978719829759,73.18548387096774,73.50597609561753,11900.0,99264.0
12000.0,0.590021,1.3493708107206553E-8,12000.0,87.0,74.0,73.25102880658436,74.6588693957115,12000.0,99264.0
12100.0,0.593126,1.3573443475696771E-8,12100.0,87.1,74.18884958301987,73.01255230125523,73.99193548387096,12100.0,99264.0
12200.0,0.596349,1.3656209044986296E-8,12200.0,87.8,75.59970719648636,74.58333333333333,75.50200803212851,12200.0,99264.0
12300.0,0.599521,1.3737664951218494E-8,12300.0,88.0,75.9947188381444,75.65922920892496,76.04790419161677,12300.0,99264.0
12400.0,0.602653,1.3818093670739062E-8,12400.0,88.6,77.1789133159039,77.42574257425743,76.96969696969698,12400.0,99264.0
