learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
56000.0,1.414579,5.865167222089238E-9,56000.0,77.5,54.978389627020974,52.43128964059197,54.545454545454554,96.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
57000.0,1.430992,5.888979097621309E-9,57000.0,88.8,77.56095606355058,78.70722433460077,77.18940936863544,1096.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
58000.0,1.448984,5.915081776264641E-9,58000.0,87.3,74.5969516341961,74.08163265306122,74.02862985685071,496.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
59000.0,1.46522,5.938636861327622E-9,59000.0,89.9,79.76973552434443,80.97928436911488,78.09110629067246,1496.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
60000.0,1.481446,5.962177438454495E-9,60000.0,92.0,84.00159984001601,84.87712665406428,84.12698412698414,2496.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
61000.0,1.500116,6.016272792799605E-9,61000.0,89.60000000000001,79.15597742432017,80.45112781954886,78.05907172995781,3496.0,11200.0,3.0,2.0,2.0,1.0,5064.0,0.0,1.028436018957346
62000.0,1.524616,6.0518172362612355E-9,62000.0,86.1,72.15455623577678,72.90448343079922,71.2215320910973,848.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
63000.0,1.541389,6.076151397493151E-9,63000.0,91.7,83.39880471393941,83.23232323232324,82.95687885010268,1848.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
64000.0,1.557203,6.099094247652425E-9,64000.0,93.2,86.406361822667,86.50793650793652,86.31790744466802,2848.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
65000.0,1.577964,6.129214173803727E-9,65000.0,81.69999999999999,63.42106946398873,61.87499999999999,61.55462184873949,200.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
66000.0,1.59403,6.152522623952892E-9,66000.0,87.1,74.17045099593935,73.78048780487805,73.88663967611336,1200.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
67000.0,1.611486,6.177847677220901E-9,67000.0,85.39999999999999,70.6478383942357,70.02053388090349,69.32773109243698,408.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
68000.0,1.627924,6.201695822593239E-9,68000.0,88.5,77.00275966883974,77.09163346613546,76.4344262295082,1408.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
69000.0,1.644357,6.225536713997523E-9,69000.0,92.2,84.39868948991716,84.30583501006038,84.01639344262296,2408.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
70000.0,1.661872,6.250947364088562E-9,70000.0,84.39999999999999,68.78801459760547,66.30669546436285,67.76859504132231,656.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
71000.0,1.678219,6.274663487242328E-9,71000.0,84.6,69.20209425759047,67.57894736842105,69.13827655310621,1656.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
72000.0,1.694257,6.297931315170395E-9,72000.0,89.60000000000001,79.20598867526152,79.96146435452795,78.77551020408163,2656.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
73000.0,1.711879,6.348990144001114E-9,73000.0,87.1,74.17768952374851,73.78048780487805,74.40476190476191,3656.0,11200.0,3.0,2.0,2.0,1.0,4896.0,0.0,1.0294117647058822
74000.0,1.728148,6.396128725674418E-9,74000.0,90.4,80.78655058540978,80.40816326530613,80.20618556701031,4656.0,11200.0,3.0,2.0,2.0,1.0,4896.0,0.0,1.0294117647058822
75000.0,1.744208,6.442661740713649E-9,75000.0,89.2,78.40207340095351,79.23076923076924,79.1907514450867,5656.0,11200.0,3.0,2.0,2.0,1.0,4896.0,0.0,1.0294117647058822
76000.0,1.76121,6.516520169874032E-9,76000.0,85.3,70.56821367076442,70.89108910891089,70.24291497975707,6656.0,16792.0,5.0,3.0,3.0,2.0,4896.0,0.0,1.0294117647058822
77000.0,1.780427,6.627801143460803E-9,77000.0,87.3,74.6022350033197,74.6,73.48643006263048,7656.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
78000.0,1.796913,6.72326756020387E-9,78000.0,88.2,76.33686676051705,76.72583826429981,75.21008403361344,8656.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
79000.0,1.813371,6.818571835756302E-9,79000.0,88.8,77.59542946761138,77.55511022044088,77.32793522267207,9656.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
80000.0,1.829667,6.912938008705775E-9,80000.0,90.3,80.57389130992054,80.60000000000001,79.79166666666667,10656.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
81000.0,1.84598,7.007402624520991E-9,81000.0,87.1,74.2,72.78481012658227,73.51129363449692,11656.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
82000.0,1.862229,7.10149663190047E-9,82000.0,91.3,82.59498735635864,82.84023668639054,82.80632411067195,12656.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
